Species,INDV,O.HOM.,E.HOM.,N_SITES,F,Het,Observed_Heterozygosity,Observed_Heterozygosity_SL_lowDP_removed,F_highcovOnly
Asian Leopard,ERR5671303,5041625,3952530,6223117,0.47965,1181492,0.000606921,0.000606921,0.47965
Asian Leopard,ERR5671311,6027208,4436994,7101389,0.59684,1074181,0.000551796,0.000551796,0.59684
Asian Leopard,ERR5671313,5750715,4445998,7131307,0.48587,1380592,0.000709197,0.000709197,0.48587
Asian Leopard,ERR5671323,4903709,4306093,6838955,0.23595,1935246,0.000994117,0.000994117,0.23595
African Leopard,ERR5671299,9900977,9605686,13971217,0.06764,4070240,0.002090843,0.002090843,0.06764
African Leopard,ERR5671307,9652529,9641905,14029745,0.00242,4377216,0.002248533,0.002248533,0.00242
African Leopard,ERR5671308,10005039,9630153,14008151,0.08563,4003112,0.00205636,0.00205636,0.08563
African Leopard,ERR5671314,10831269,9733008,14176036,0.24719,3344767,0.001718174,0.001718174,0.24719
African Leopard,ERR5671315,10513707,9770951,14239966,0.1662,3726259,0.001914143,0.001914143,0.1662
Jaguar,SRR11097154_dwn33,2353492,2242604,3988433,0.06352,1634941,0.000883412,0.000883412,0.06352
Jaguar,SRR14572000_dwn40,3057846,2241153,3984628,0.46843,926782,0.000500771,0.000500771,0.46843
Jaguar,SRR4444360_dwn40,2233178,2237361,3976047,-0.00241,1742869,0.000941729,0.000941729,-0.00241
Lion,SRR10009886,2693529,2800449,4702910,-0.0562,2009381,0.001032482,0.001032482,-0.0562
Lion,SRR13242484,3234306,2797600,4693330,0.23036,1459024,0.000749692,0.000749692,0.23036
Lion,SRR836361,3421274,2783151,4662978,0.33946,1241704,0.000638026,0.000638026,0.33946
Lion,SRR836370,3604290,2776436,4649654,0.44194,1045364,0.00053714,0.00053714,0.44194
Amur Tiger,SRR13647652,2034896,1672180,2767074,0.33128,732178,0.000376324,0.000376324,0.33128
Amur Tiger,SRR13647654,2126702,1763022,2925387,0.31288,798685,0.000410507,0.000410507,0.31288
Amur Tiger,SRS8209282,1896523,1816868,3022660,0.06606,1126137,0.000578811,0.000578811,0.06606
Amur Tiger,SRS8209284,1795465,1812242,3014184,-0.01396,1218719,0.000626396,0.000626396,-0.01396
Amur Tiger,SRS8209286,2120497,1787162,2968681,0.28212,848184,0.000435949,0.000435949,0.28212
Bengal Tiger,SRR13500746,3393762,2888028,4669657,0.28386,1275895,0.000655783,0.000655783,0.28386
Bengal Tiger,SRR13500748,2993853,2891776,4677277,0.05717,1683424,0.000865245,0.000865245,0.05717
Bengal Tiger,SRR13500752,3496372,2912483,4713926,0.32412,1217554,0.000625797,0.000625797,0.32412
Bengal Tiger,SRR13500756,3725934,2913284,4715127,0.45101,989193,0.000508425,0.000508425,0.45101
Bengal Tiger,SRR13500762,3259576,2895474,4683430,0.20364,1423854,0.000731831,0.000731831,0.20364
Malayan Tiger,SRR13647621,3186940,2414304,3958939,0.50021,771999,0.000396791,0.000396791,0.50021
Malayan Tiger,SRR13647627,2871487,2364878,3872943,0.33593,1001456,0.000514727,0.000514727,0.33593
Malayan Tiger,SRS8209294,2571847,2507177,4122204,0.04004,1550357,0.000796851,0.000796851,0.04004
Malayan Tiger,SRS8209296,2380182,2523050,4151818,-0.08772,1771636,0.000910584,0.000910584,-0.08772
Malayan Tiger,SRS8209300,2409707,2522579,4150655,-0.06933,1740948,0.000894811,0.000894811,-0.06933
Sumatran Tiger,SRR13647577,1781959,1495652,2458948,0.29722,676989,0.000347958,0.000347958,0.29722
Sumatran Tiger,SRR13647578,1767299,1468846,2411771,0.31652,644472,0.000331245,0.000331245,0.31652
Sumatran Tiger,SRR13647591,1763081,1447305,2374909,0.34042,611828,0.000314467,0.000314467,0.34042
Sumatran Tiger,SRS8209305,1504405,1581513,2613867,-0.07469,1109462,0.00057024,0.00057024,-0.07469
Sumatran Tiger,SRS8209313,1481706,1578940,2607715,-0.09451,1126009,0.000578745,0.000578745,-0.09451
Cheetah,SRR2737540,2118808,1818489,2730979,0.32912,612171,0.000314751,0.000314751,0.32912
Cheetah,SRR2737541,2080471,1847525,2777931,0.25037,697460,0.000358603,0.000358603,0.25037
Cheetah,SRR2737542,2062264,1844254,2772591,0.23484,710327,0.000365219,0.000365219,0.23484
Cheetah,SRR2737543,2048982,1835681,2758844,0.23105,709862,0.00036498,0.00036498,0.23105
Cheetah,SRR2737544,2101781,1832073,2753341,0.29276,651560,0.000335003,0.000335003,0.29276
Cheetah,SRR2737545,2022785,1841890,2768457,0.19523,745672,0.000383392,0.000383392,0.19523
Cheetah,SRR9951918,1863608,1886012,2853228,-0.02316,989620,0.000508819,0.000508819,-0.02316
Puma,BR406_all,5078214,5659866,8564242,-0.20027,3486028,0.001822242,0.001822242,-0.20027
Puma,CYP47_all,7833340,5677454,8595047,0.73893,761707,0.000398165,0.000398165,0.73893
Puma,EVG21_all,3740300,3343504,4993447,0.24049,1253147,0.000655054,0.000655054,0.24049
Puma,SC29_all,7195165,5668395,8577051,0.52491,1381886,0.000722349,0.000722349,0.52491
Puma,SMM22_all,7425174,5676066,8590999,0.60005,1165825,0.000609408,0.000609408,0.60005
Puma,YNP198_all,6743417,5679568,8599126,0.36439,1855709,0.00097003,0.00097003,0.36439
Snow Leopard,PA_Zoo,1834315,1672317,2029516,0.45352,195201,0.000107361,,
Snow Leopard,MSB_F1,1847007,1709978,2078050,0.37229,231043,0.000127075,,
Snow Leopard,MSB_M1,1857166,1704335,2070306,0.4176,213140,0.000117228,,
Snow Leopard,SL_Mong_M1,1866316,1735859,2111904,0.34692,245588,0.000135075,,
Snow Leopard,SL_Mong_M9,1788791,1762721,2145094,0.06818,356303,0.000195968,,
Snow Leopard,SL_Mong_F8,1874040,1710017,2078650,0.44495,204610,0.000112536,,
Snow Leopard,SL_Mong_F9,1897274,1717921,2087508,0.48528,190234,0.00010463,,
Snow Leopard,SL_Mong_M10,1870562,1715465,2084180,0.42064,213618,0.000117491,,
Snow Leopard,SL_M11136_Bronx,1819693,1751204,2131293,0.18019,311600,0.000171381,0.000171381,0.18019
Snow Leopard,SL_KGZ_M1,1831913,1700385,2067460,0.35831,235547,0.000129552,,
Snow Leopard,SL_KGZ_F4,1821021,1611892,1955500,0.60863,134479,7.39641E-05,,
Snow Leopard,SL_KGZ_M2,1801737,1642283,1994264,0.45302,192527,0.000105891,,
Snow Leopard,SL_KGZ_M3,1830907,1712977,2083277,0.31847,252370,0.000138805,,
Snow Leopard,SL_KGZ_F1,1839966,1651287,2006779,0.53075,166813,9.17479E-05,,
Snow Leopard,SL_KGZ_F3,1728068,1539753,1865801,0.57757,137733,7.57538E-05,,
Snow Leopard,SL_KGZ_F2,1792657,1619102,1964528,0.50244,171871,9.45298E-05,,
Snow Leopard,U01,1821798,1769454,2155680,0.13553,333882,0.000183637,0.000183637,0.13553
Snow Leopard,U03,1802377,1773342,2159117,0.07526,356740,0.000196209,0.000196209,0.07526
Snow Leopard,U04,1860962,1789798,2180275,0.18225,319313,0.000175624,0.000175624,0.18225
Snow Leopard,U05,1840350,1808851,2205726,0.07937,365376,0.000200958,0.000200958,0.07937
Snow Leopard,U06,1832065,1728035,2101743,0.27837,269678,0.000148324,0.000148324,0.27837
Snow Leopard,U07,1873627,1797209,2190494,0.19431,316867,0.000174278,0.000174278,0.19431
Snow Leopard,U08,1879729,1791069,2182023,0.22678,302294,0.000166263,0.000166263,0.22678
Snow Leopard,U09,1834981,1786097,2175963,0.12539,340982,0.000187542,0.000187542,0.12539
Snow Leopard,U10,1656844,1545249,1871827,0.34171,214983,0.000118242,,
Snow Leopard,U11,1378688,1227530,1476941,0.60606,98253,5.40396E-05,,
Snow Leopard,U13,1741377,1665838,2029447,0.20775,288070,0.00015844,,
Snow Leopard,U14,1932492,1799219,2193017,0.33843,260525,0.00014329,0.00014329,0.33843
Snow Leopard,U15,1737128,1584237,1916624,0.45998,179496,9.87236E-05,,
Snow Leopard,AF_SL_05,1849965,1787977,2178415,0.15876,328450,0.000180649,,
Snow Leopard,AF_SL_06,1647443,1478612,1786061,0.54914,138618,7.62405E-05,,
Snow Leopard,AF_SL_07,1690289,1529731,1850623,0.50035,160334,8.81844E-05,,
Snow Leopard,AF_SL_08,1839122,1798062,2191576,0.10434,352454,0.000193851,0.000193851,0.10434
Snow Leopard,Leo,1895021,1776782,2164726,0.30478,269705,0.000148339,0.000148339,0.30478
Snow Leopard,India_NCBS,1746912,1790533,2182524,-0.11128,435612,0.000239589,0.000239589,-0.11128
Snow Leopard,DNAzoo,1817317,1823242,2225209,-0.01474,407892,0.000224342,0.000224342,-0.01474
