Original_order,Sample,population,LOW_het,LOW_hom,MODERATE_het,MODERATE_hom,HIGH_het,HIGH_hom,synonymous_variant_het,synonymous_variant_hom,LOW_tot,MODERATE_tot,HIGH_tot,SYN_tot,HIGH_SYN_tot,HIGH_SYN_hom,HIGH_SYN_het,MOD_SYN_tot,MOD_SYN_hom,MOD_SYN_het,MOD_HIGH_ratio_tot,MOD_HIGH_ratio_hom,MOD_HIGH_ratio_het,MOD_HIGH_tot,MOD_HIGH_hom,MOD_HIGH_het,HIGH_MOD_tot,HIGH_MOD_hom,HIGH_MOD_het,LOF_hom,LOF_het,LOF_SYN_hom,LOF_SYN_het,Miss_het,Miss_hom,Miss_SYN_hom,Miss_SYN_het
1,AsianLeopard_n4_annotated_ERR5671323_derived.txt:,Asian Leopard,16717,8216,16456,4420,1471,216,13013,6354,24933,20876,1687,19367,0.087106934,0.033994334,0.113040805,1.077916043,0.695624803,1.264581572,12.37462952,20.46296296,11.18694765,12.37462952,20.46296296,11.18694765,0.0808105,0.048868778,0.089389888,153,1203,0.02407932,0.092446016,16006,4296,0.676109537,1.230000768
3,Lion_n4_annoted_original_SRR10009886_derived.txt:,Lion,3822,38,2937,12,150,3,2956,30,3860,2949,153,2986,0.051239116,0.1,0.050744249,0.987608841,0.4,0.993572395,19.2745098,4,19.58,19.2745098,4,19.58,0.051881994,0.25,0.051072523,3,109,0.1,0.036874154,2874,12,0.4,0.972259811
4,AfricanLeopard_n5_annotated_ERR5671315_derived.txt:,African Leopard,13554,2752,6921,1246,209,45,10552,2117,16306,8167,254,12669,0.020048938,0.021256495,0.019806672,0.644644408,0.588568729,0.655894617,32.15354331,27.68888889,33.11483254,32.15354331,27.68888889,33.11483254,0.031100771,0.03611557,0.030197948,25,133,0.011809164,0.012604246,6784,1222,0.577231932,0.642911296
5,SL_Ours_annotated_SL_M11136_Bronx_derived.txt:,Snow Leopard,1858,685,1645,400,47,8,1548,537,2543,2045,55,2085,0.026378897,0.014897579,0.030361757,0.980815348,0.744878957,1.062661499,37.18181818,50,35,37.18181818,50,35,0.026894866,0.02,0.028571429,7,25,0.013035382,0.016149871,1625,393,0.731843575,1.049741602
7,SL_Ours_annotated_U03_derived.txt:,Snow Leopard,2934,851,2802,471,165,10,2383,679,3785,3273,175,3062,0.057152188,0.014727541,0.069240453,1.06890921,0.693667158,1.175828787,18.70285714,47.1,16.98181818,18.70285714,47.1,16.98181818,0.053467767,0.021231423,0.05888651,8,128,0.011782032,0.053713806,2757,462,0.680412371,1.156945027
8,Lion_n4_annoted_original_SRR13242484_derived.txt:,Lion,3008,57,2146,25,98,3,2379,39,3065,2171,101,2418,0.041770058,0.076923077,0.041193779,0.897849462,0.641025641,0.902059689,21.4950495,8.333333333,21.89795918,21.4950495,8.333333333,21.89795918,0.04652234,0.12,0.045666356,2,66,0.051282051,0.027742749,2118,25,0.641025641,0.890290038
10,Tiger_Bengal_n5_annoted_original_SRR13500748_derived.txt:,Bengal Tiger,6660,1161,3244,569,96,13,5598,874,7821,3813,109,6472,0.01684178,0.014874142,0.017148982,0.589153276,0.651029748,0.579492676,34.98165138,43.76923077,33.79166667,34.98165138,43.76923077,33.79166667,0.028586415,0.0228471,0.029593095,8,54,0.009153318,0.009646302,3190,554,0.633867277,0.569846374
11,SL_Ours_annotated_Leo_derived.txt:,Snow Leopard,1749,939,1623,495,43,13,1425,733,2688,2118,56,2158,0.025949954,0.017735334,0.030175439,0.981464319,0.675306958,1.138947368,37.82142857,38.07692308,37.74418605,37.82142857,38.07692308,37.74418605,0.026440038,0.026262626,0.026494147,12,24,0.016371078,0.016842105,1592,487,0.664392906,1.117192982
13,Tiger_Sumatran_n5_annoted_original_SRR13647578_derived.txt:,Sumatran Tiger,1579,2388,1152,1375,47,51,1209,1841,3967,2527,98,3050,0.032131148,0.027702336,0.038875103,0.82852459,0.746876697,0.952853598,25.78571429,26.96078431,24.5106383,25.78571429,26.96078431,24.5106383,0.038781163,0.037090909,0.040798611,33,30,0.017925041,0.024813896,1125,1336,0.725692558,0.930521092
14,Tiger_Sumatran_n5_annoted_original_SRS8209313_derived.txt:,Sumatran Tiger,3751,2535,2148,1281,78,50,2980,1944,6286,3429,128,4924,0.025995126,0.025720165,0.026174497,0.696385053,0.658950617,0.720805369,26.7890625,25.62,27.53846154,26.7890625,25.62,27.53846154,0.037328667,0.039032006,0.036312849,27,42,0.013888889,0.01409396,2105,1250,0.643004115,0.706375839
15,AfricanLeopard_n5_annotated_ERR5671299_derived.txt:,African Leopard,17454,3707,14247,2192,1157,146,13495,2785,21161,16439,1303,16280,0.080036855,0.052423698,0.085735458,1.009766585,0.787073609,1.055724342,12.61627015,15.01369863,12.31374244,12.61627015,15.01369863,12.31374244,0.079262729,0.066605839,0.081210079,105,934,0.037701975,0.069210819,13817,2148,0.771274686,1.023860689
16,Tiger_Malayan_n5_annoted_original_SRS8209296_derived.txt:,Malayan Tiger,5167,1654,2960,835,91,20,4006,1263,6821,3795,111,5269,0.021066616,0.015835313,0.022715926,0.720250522,0.661124307,0.738891663,34.18918919,41.75,32.52747253,34.18918919,41.75,32.52747253,0.029249012,0.023952096,0.030743243,12,55,0.009501188,0.013729406,2901,813,0.643705463,0.724163754
17,SL_Ours_annotated_India_NCBS_derived.txt:,Snow Leopard,46668,796,13641,445,151,12,45867,592,47464,14086,163,46459,0.00350847,0.02027027,0.003292127,0.303192062,0.751689189,0.297403362,86.41717791,37.08333333,90.33774834,86.41717791,37.08333333,90.33774834,0.011571773,0.026966292,0.01106957,8,97,0.013513514,0.00211481,13587,437,0.738175676,0.296226045
18,AfricanLeopard_n5_annotated_ERR5671308_derived.txt:,African Leopard,16472,3170,11879,1617,785,77,12617,2374,19642,13496,862,14991,0.057501167,0.032434709,0.062217643,0.900273497,0.681128896,0.94150749,15.65661253,21,15.13248408,15.65661253,21,15.13248408,0.063870777,0.047619048,0.066083004,62,623,0.026116259,0.049377824,11542,1576,0.663858467,0.914797495
19,Tiger_Bengal_n5_annoted_original_SRR13500762_derived.txt:,Bengal Tiger,4631,1524,2480,721,147,17,3601,1155,6155,3201,164,4756,0.034482759,0.014718615,0.040821994,0.673044575,0.624242424,0.688697584,19.51829268,42.41176471,16.8707483,19.51829268,42.41176471,16.8707483,0.051233989,0.023578363,0.059274194,11,107,0.00952381,0.029713968,2422,709,0.613852814,0.672590947
21,AfricanLeopard_n5_annotated_ERR5671307_derived.txt:,African Leopard,21460,3199,17122,1522,1275,64,16753,2437,24659,18644,1339,19190,0.069775925,0.026261797,0.076105772,0.971547681,0.624538367,1.022025906,13.92382375,23.78125,13.42901961,13.92382375,23.78125,13.42901961,0.071819352,0.042049934,0.0744656,46,986,0.018875667,0.05885513,16691,1486,0.609766106,0.99629917
23,Tiger_Amur_n5_annoted_original_SRS8209286_derived.txt:,Amur Tiger,2943,2451,1818,1278,63,35,2393,1913,5394,3096,98,4306,0.022758941,0.01829587,0.026326786,0.718996749,0.668060638,0.759715838,31.59183673,36.51428571,28.85714286,31.59183673,36.51428571,28.85714286,0.031653747,0.027386541,0.034653465,19,46,0.009932044,0.019222733,1796,1248,0.652378463,0.750522357
24,SL_Ours_annotated_U04_derived.txt:,Snow Leopard,2498,831,2240,463,82,7,2085,658,3329,2703,89,2743,0.032446227,0.010638298,0.039328537,0.985417426,0.703647416,1.074340528,30.37078652,66.14285714,27.31707317,30.37078652,66.14285714,27.31707317,0.032926378,0.01511879,0.036607143,4,50,0.006079027,0.023980815,2203,456,0.693009119,1.056594724
28,Tiger_Sumatran_n5_annoted_original_SRR13647577_derived.txt:,Sumatran Tiger,1729,2542,1112,1416,70,53,1344,1926,4271,2528,123,3270,0.037614679,0.027518172,0.052083333,0.773088685,0.735202492,0.827380952,20.55284553,26.71698113,15.88571429,20.55284553,26.71698113,15.88571429,0.048655063,0.037429379,0.06294964,30,44,0.015576324,0.032738095,1090,1382,0.717549325,0.811011905
29,SL_Ours_annotated_U09_derived.txt:,Snow Leopard,2613,797,2573,418,136,7,2090,614,3410,2991,143,2704,0.052884615,0.011400651,0.06507177,1.106139053,0.680781759,1.231100478,20.91608392,59.71428571,18.91911765,20.91608392,59.71428571,18.91911765,0.047810097,0.016746411,0.052856588,4,110,0.006514658,0.052631579,2522,411,0.669381107,1.206698565
31,Jag_n3_annoted_original_SRR14572000_dwn40_derived.txt:,Jaguar,4735,2991,2555,1517,86,69,3585,2250,7726,4072,155,5835,0.026563839,0.030666667,0.023988842,0.697857755,0.674222222,0.712691771,26.27096774,21.98550725,29.70930233,26.27096774,21.98550725,29.70930233,0.038064833,0.045484509,0.033659491,35,61,0.015555556,0.017015342,2506,1490,0.662222222,0.69902371
32,Tiger_Amur_n5_annoted_original_SRR13647652_derived.txt:,Amur Tiger,1620,2017,1138,1259,46,56,1270,1571,3637,2397,102,2841,0.035902851,0.035646085,0.036220472,0.843717001,0.801400382,0.896062992,23.5,22.48214286,24.73913043,23.5,22.48214286,24.73913043,0.042553191,0.044479746,0.040421793,38,33,0.024188415,0.025984252,1110,1230,0.782940802,0.874015748
