Original order,Sample,population,nonsense_hom,Silent_hom,Missense_hom,silent_het,nonsense_het,missense_het,TOT_MIS_NON_SIL_hom,TOT_MIS_NON_SIL_het,(HIGH|NONSENSE|_hom,(HIGH|NONSENSE|_het,(HIGH|MISSENSE|_hom,(HIGH|MISSENSE|_het,Total_HIGH_hom,Total_HIGH_het,(MODERATE|MISSENSE|_hom,(MODERATE|MISSENSE|_het,High_tot_hom,High_tot_het,Mod_tot_hom,Mod_tot_het
30,AfricanLeopard_n5_annotated_classic_ERR5671299_derived_classic.txt:,African Leopard,79,2790,2205,13508,672,14283,5074,28463,79,672,13,39,92,711,2192,14247,0.018131652,0.024979798,0.432006307,0.500544567
24,AfricanLeopard_n5_annotated_classic_ERR5671307_derived_classic.txt:,African Leopard,32,2438,1528,16774,753,17173,3998,34700,32,753,6,59,38,812,1522,17122,0.009504752,0.023400576,0.380690345,0.493429395
14,AfricanLeopard_n5_annotated_classic_ERR5671308_derived_classic.txt:,African Leopard,32,2377,1624,12630,401,11912,4033,24943,32,401,7,33,39,434,1617,11879,0.009670221,0.017399671,0.400942227,0.476245841
18,AfricanLeopard_n5_annotated_classic_ERR5671314_derived_classic.txt:,African Leopard,20,2092,1335,9533,77,6327,3447,15937,20,77,3,16,23,93,1332,6310,0.006672469,0.005835477,0.386422977,0.39593399
12,AfricanLeopard_n5_annotated_classic_ERR5671315_derived_classic.txt:,African Leopard,20,2121,1253,10557,80,6941,3394,17578,20,80,7,21,27,101,1246,6921,0.007955215,0.005745819,0.367118444,0.3937308
11,AsianLeopard_n4_annotated_classic_ERR5671303_derived_classic.txt:,Asian Leopard,149,7173,5651,5845,381,7454,12973,13680,149,381,15,19,164,400,5638,7436,0.01264164,0.029239766,0.434594928,0.543567251
45,AsianLeopard_n4_annotated_classic_ERR5671311_derived_classic.txt:,Asian Leopard,42,7703,5135,4934,198,5647,12880,10779,42,198,21,20,63,218,5114,5628,0.004891304,0.020224511,0.397049689,0.522126357
39,AsianLeopard_n4_annotated_classic_ERR5671313_derived_classic.txt:,Asian Leopard,38,6144,3883,4937,35,3769,10065,8741,38,35,18,15,56,50,3866,3755,0.005563835,0.005720169,0.384103328,0.429584716
27,AsianLeopard_n4_annotated_classic_ERR5671323_derived_classic.txt:,Asian Leopard,81,6358,4443,13030,922,16492,10882,30444,81,922,24,42,105,964,4420,16456,0.009648962,0.031664696,0.406175335,0.540533438
10,Jag_n3_annoted_classic_SRR11097154_dwn33_derived.txt:,Jaguar,0,45,37,4095,29,3054,82,7178,0,29,0,12,1,41,37,3041,0.012195122,0.005711897,0.451219512,0.423655614
25,Jag_n3_annoted_classic_SRR14572000_dwn40_derived.txt:,Jaguar,25,2254,1527,3589,24,2563,3806,6176,25,24,10,9,35,33,1517,2555,0.009196006,0.005343264,0.398581188,0.413698187
37,Jag_n3_annoted_classic_SRR4444360_dwn40_derived.txt:,Jaguar,10,1632,1161,7134,61,5002,2803,12197,10,61,5,14,15,75,1156,4986,0.005351409,0.006149053,0.412415269,0.408789046
5,Lion_n4_annoted_classic_SRR10009886_derived.txt:,Lion,1,30,12,2959,64,2949,43,5972,1,64,0,14,1,78,12,2937,0.023255814,0.013060951,0.279069767,0.491795044
44,Lion_n4_annoted_classic_SRR13242484_derived.txt:,Lion,2,39,25,2383,52,2153,66,4588,2,52,0,9,2,61,25,2146,0.03030303,0.013295554,0.378787879,0.467741935
16,Lion_n4_annoted_classic_SRR836361_derived.txt:,Lion,10,1509,1082,8885,45,3973,2601,12903,10,45,5,9,15,54,1076,3966,0.005767013,0.004185073,0.413687043,0.307370379
13,Lion_n4_annoted_classic_SRR836370_derived.txt:,Lion,7,1187,736,18072,69,6055,1930,24196,7,69,5,19,12,88,733,6036,0.006217617,0.003636965,0.379792746,0.249462721
1,SL_Ours_annotated_classic_AF_SL_08_derived_classic.txt:,Snow Leopard,3,576,395,1913,28,2045,974,3986,3,28,2,7,5,35,393,2037,0.00513347,0.008780733,0.40349076,0.511038635
29,SL_Ours_annotated_classic_DNAzoo_derived_classic.txt:,Snow Leopard,3,420,312,2138,28,2149,735,4315,3,28,0,8,3,36,312,2141,0.004081633,0.00834299,0.424489796,0.49617613
9,SL_Ours_annotated_classic_India_NCBS_derived_classic.txt:,Snow Leopard,8,593,447,45880,85,13654,1048,59619,8,85,2,12,10,97,445,13641,0.009541985,0.001626998,0.424618321,0.228802898
21,SL_Ours_annotated_classic_Leo_derived_classic.txt:,Snow Leopard,5,734,495,1427,20,1632,1234,3079,5,20,0,8,5,28,495,1623,0.004051864,0.009093862,0.401134522,0.527119195
47,SL_Ours_annotated_classic_Mong_SRR836372_derived_classic.txt:,Snow Leopard,3,608,400,10053,48,4298,1011,14399,3,48,0,11,3,59,400,4287,0.002967359,0.004097507,0.395647873,0.297729009
41,SL_Ours_annotated_classic_SL_M11136_Bronx_derived_classic.txt:,Snow Leopard,5,538,400,1549,26,1651,943,3226,5,26,0,5,5,31,400,1645,0.005302227,0.009609423,0.424178155,0.509919405
51,SL_Ours_annotated_classic_U03_derived_classic.txt:,Snow Leopard,4,680,471,2386,117,2811,1155,5314,4,117,0,10,4,127,471,2802,0.003463203,0.023899134,0.407792208,0.527286413
46,SL_Ours_annotated_classic_U04_derived_classic.txt:,Snow Leopard,4,658,464,2087,48,2253,1126,4388,4,48,2,13,6,61,463,2240,0.005328597,0.01390155,0.411190053,0.510483136
22,SL_Ours_annotated_classic_U05_derived_classic.txt:,Snow Leopard,7,616,401,2145,25,2159,1024,4329,7,25,0,9,7,34,401,2147,0.006835938,0.007854008,0.391601563,0.495957496
54,SL_Ours_annotated_classic_U06_derived_classic.txt:,Snow Leopard,3,618,488,1872,50,2070,1109,3992,3,50,1,9,4,59,487,2060,0.003606853,0.014779559,0.439134355,0.516032064
35,SL_Ours_annotated_classic_U07_derived_classic.txt:,Snow Leopard,5,609,427,6116,45,3580,1041,9741,5,45,2,14,7,59,426,3568,0.006724304,0.006056873,0.409221902,0.366286829
49,SL_Ours_annotated_classic_U09_derived_classic.txt:,Snow Leopard,3,614,418,2094,91,2582,1035,4767,3,91,0,8,3,99,418,2573,0.002898551,0.020767778,0.403864734,0.539752465
