ped,id,father,mother,sex,affected,avail,origin,originB
1,1802,812,1414,F,NA,,black,
1,812,236,279,m,NA,,black,
1,236,0,0,m,NA,1970,grey,unknown
1,279,0,0,f,NA,1971,grey,unknown
1,1414,1034,956,f,NA,,black,
1,1034,625,605,m,NA,,black,
1,956,377,350,f,NA,,black,
1,625,428,413,m,NA,,black,
1,428,144,169,m,NA,,black,
1,144,0,0,m,NA,1961,grey,unknown
1,169,0,0,f,NA,1963,grey,unknown
1,413,277,291,f,NA,,black,
1,277,0,0,m,NA,1970,grey,unknown
1,291,119,171,f,NA,,black,
1,119,85,86,m,NA,,black,
1,171,0,0,f,NA,1964,grey,unknown
1,605,343,351,f,NA,,black,
1,343,133,191,m,NA,,black,
1,133,0,0,m,NA,1960,grey,unknown
1,191,0,0,f,NA,1964,red,USSR
1,351,233,213,f,NA,,black,
1,233,0,0,m,NA,1968,grey,unknown
1,213,0,0,f,NA,1967,grey,unknown
1,377,208,270,m,NA,,black,
1,350,0,0,f,NA,1974,red,USSR
1,208,0,0,m,NA,1966,red,USSR
1,270,208,182,f,NA,,black,
1,182,0,0,f,NA,1964,red,USSR
1,85,0,0,m,NA,1955,grey,unknown
1,86,0,0,f,NA,1955,grey,unknown
