ped,id,father,mother,sex,affected,avail,origin,originB
1,2830,2510,2579,f,NA,,black,
1,2510,1415,1663,m,NA,,black,
1,2579,1098,1832,f,NA,,black,
1,1415,928,749,m,NA,,black,
1,1663,770,1297,f,NA,,black,
1,1098,482,564,m,NA,,black,
1,1832,1281,1201,f,NA,,black,
1,928,630,601,m,NA,,black,
1,749,487,386,f,NA,,black,
1,770,318,319,m,NA,,black,
1,1297,729,728,f,NA,,black,
1,482,337,206,m,NA,,black,
1,564,318,319,f,NA,,black,
1,1281,689,523,m,NA,,black,
1,1201,678,671,f,NA,,black,
1,630,282,383,m,NA,,black,
1,601,380,420,f,NA,,black,
1,487,283,293,m,NA,,black,
1,386,266,189,f,NA,,black,
1,318,0,0,m,NA,1972,blue,Kazakhstan
1,319,0,0,f,NA,1972,blue,Kazakhstan
1,729,468,432,m,NA,,black,
1,728,496,490,f,NA,,black,
1,337,0,0,m,NA,1971,grey,unknown
1,206,0,0,f,NA,1966,grey,unknown
1,689,0,0,m,NA,1980,green,Kyrgyzstan
1,523,283,293,f,NA,,black,
1,678,318,319,m,NA,,black,
1,671,377,406,f,NA,,black,
1,282,133,191,m,NA,,black,
1,383,238,253,f,NA,,black,
1,380,144,169,m,NA,,black,
1,420,277,290,f,NA,,black,
1,283,133,191,m,NA,,black,
1,293,140,172,f,NA,,black,
1,266,0,0,m,NA,1968,red,USSR
1,189,145,146,f,NA,,black,
1,468,0,0,m,NA,1975,orange,PRZEWALSK 
1,432,0,0,f,NA,1974,orange,PRZEWALSK 
1,496,261,291,m,NA,,black,
1,490,280,381,f,NA,,black,
1,377,208,270,m,NA,,black,
1,406,0,0,f,NA,1974,green,Kyrgyzstan
1,133,0,0,m,NA,1960,grey,unknown
1,191,0,0,f,NA,1964,red,USSR
1,238,130,131,m,NA,,black,
1,253,140,147,f,NA,,black,
1,144,0,0,m,NA,1961,grey,unknown
1,169,0,0,f,NA,1963,grey,unknown
1,277,0,0,m,NA,1970,grey,unknown
1,290,119,171,f,NA,,black,
1,140,85,86,m,NA,,black,
1,172,0,0,f,NA,1964,grey,unknown
1,145,0,0,m,NA,1961,grey,unknown
1,146,0,0,f,NA,1961,grey,unknown
1,261,0,0,m,NA,1969,grey,unknown
1,291,119,171,f,NA,,black,
1,280,144,169,m,NA,,black,
1,381,220,224,f,NA,,black,
1,208,0,0,m,NA,1966,red,USSR
1,270,208,182,f,NA,,black,
1,130,85,86,m,NA,,black,
1,131,85,86,f,NA,,black,
1,147,0,0,f,NA,1965,grey,unknown
1,85,0,0,M,NA,1955,grey,unknown
1,86,0,0,F,NA,1955,grey,unknown
1,119,85,86,m,NA,,black,
1,171,0,0,f,NA,1964,grey,unknown
1,220,140,198,m,NA,,black,
1,224,0,0,f,NA,1967,grey,unknown
1,182,0,0,f,NA,1964,red,USSR
1,198,0,0,f,NA,1965,grey,unknown
