ped,id,father,mother,sex,affected,avail,origin,originB
1,2368,1813,1659,f,NA,,black,
1,1813,770,1136,m,NA,,black,
1,1659,763,1114,f,NA,,black,
1,770,318,319,m,NA,,black,
1,318,0,0,m,NA,1972,blue,Kazakhstan
1,319,0,0,f,NA,1972,blue,Kazakhstan
1,1136,496,604,f,NA,,black,
1,496,261,291,m,NA,,black,
1,604,0,0,f,NA,1979,purple,Aksai China
1,261,0,0,m,NA,1969,grey,unknown
1,291,119,171,f,NA,,black,
1,119,85,86,m,NA,,black,
1,171,0,0,f,NA,1964,grey,unknown
1,763,282,383,m,NA,,black,
1,282,133,191,m,NA,,black,
1,133,0,0,m,NA,1960,grey,unknown
1,191,0,0,f,NA,1964,red,USSR
1,383,238,253,f,NA,,black,
1,238,130,131,m,NA,,black,
1,130,85,86,m,NA,,black,
1,131,85,86,f,NA,,black,
1,1114,536,588,f,NA,,black,
1,536,427,445,m,NA,,black,
1,427,318,319,m,NA,,black,
1,445,208,269,f,NA,,black,
1,208,0,0,m,NA,1966,red,USSR
1,269,208,182,f,NA,,black,
1,182,0,0,f,NA,1964,red,USSR
1,588,236,279,f,NA,,black,
1,236,0,0,m,NA,1970,grey,unknown
1,279,0,0,f,NA,1971,grey,unknown
1,85,0,0,m,NA,1955,grey,unknown
1,86,0,0,f,NA,1955,grey,unknown
1,253,140,147,f,NA,,black,
1,140,85,86,m,NA,,black,
1,147,0,0,f,NA,1965,grey,unknown
