ped,id,father,mother,sex,affected,avail,origin,originB
1,891,625,605,M,NA,,black,
1,625,428,413,M,NA,,black,
1,605,343,351,F,NA,,black,
1,428,144,169,M,NA,,black,
1,413,277,291,F,NA,,black,
1,291,119,171,F,NA,,black,
1,119,85,86,M,NA,,black,
1,343,133,191,M,NA,,black,
1,351,233,213,F,NA,,black,
1,277,0,0,M,NA,1970,grey,unknown
1,85,0,0,M,NA,1955,grey,unknown
1,133,0,0,M,NA,1960,grey,unknown
1,213,0,0,F,NA,1967,grey,unknown
1,169,0,0,F,NA,1963,grey,unknown
1,171,0,0,F,NA,1964,grey,unknown
1,86,0,0,F,NA,1955,grey,unknown
1,191,0,0,F,NA,1964,red,USSR
1,233,0,0,M,NA,1968,grey,unknown
1,144,0,0,M,NA,1961,grey,unknown
