TYPE,AUTO_START,AUTO_END,size_class,size_class_B,Genome_fraction,AUTO_LEN,INDV,PropCovered,CHROM,ToKeep
A,71362535,71462833,100kb_1gb,100kb_1gb,4.61206E-05,100299,SRR7152381,0.643961,chrF2,TRUE
A,34833765,34942917,100kb_1gb,100kb_1gb,5.01919E-05,109153,BEN_CI2,0.7020851,chrF1,TRUE
A,52310431,52420772,100kb_1gb,100kb_1gb,5.07387E-05,110342,MAL4,0.6770375,chrD1,TRUE
A,57270402,57387454,100kb_1gb,100kb_1gb,5.38246E-05,117053,SRR7152387,0.6386563,chrE2,TRUE
A,5048512,5166785,100kb_1gb,100kb_1gb,5.43861E-05,118274,BEN_NOR2,0.6882805,chrF2,TRUE
A,52293188,52423568,100kb_1gb,100kb_1gb,5.99532E-05,130381,SRR7152398,0.6475303,chrD1,TRUE
A,6707039,6840093,100kb_1gb,100kb_1gb,6.11828E-05,133055,BEN_CI3,0.6054008,chrA1,TRUE
A,70511457,70646207,100kb_1gb,100kb_1gb,6.19627E-05,134751,BEN_CI3,0.6620037,chrD3,TRUE
A,14213425,14348595,100kb_1gb,100kb_1gb,6.21558E-05,135171,BEN_CI6,0.6340608,chrD1,TRUE
A,71329701,71465402,100kb_1gb,100kb_1gb,6.24E-05,135702,SRR7152401,0.6300691,chrD2,TRUE
A,93664012,93801106,100kb_1gb,100kb_1gb,6.30405E-05,137095,BEN_NOR2,0.612339,chrD1,TRUE
A,20109137,20247212,100kb_1gb,100kb_1gb,6.34916E-05,138076,BEN_CI6,0.6132971,chrF2,TRUE
A,12784645,12923704,100kb_1gb,100kb_1gb,6.39441E-05,139060,BEN_SI2,0.6996742,chrA1,TRUE
A,109911976,110056096,100kb_1gb,100kb_1gb,6.62713E-05,144121,BEN_CI5,0.6399667,chrD1,TRUE
A,58497899,58642240,100kb_1gb,100kb_1gb,6.63729E-05,144342,GEN1,0.6928108,chrB4,TRUE
A,13900721,14045143,100kb_1gb,100kb_1gb,6.64102E-05,144423,SRR7152405,0.5976998,chrD1,TRUE
A,13901745,14047084,100kb_1gb,100kb_1gb,6.68318E-05,145340,GEN2,0.5972382,chrD1,TRUE
A,194181433,194328658,100kb_1gb,100kb_1gb,6.76991E-05,147226,BEN_SI2,0.6297504,chrB1,TRUE
A,193404356,193553911,100kb_1gb,100kb_1gb,6.87705E-05,149556,SRR7152402,0.5980141,chrB1,TRUE
A,71342985,71493406,100kb_1gb,100kb_1gb,6.91687E-05,150422,BEN_CI4,0.6331629,chrD2,TRUE
A,4289333,4440277,100kb_1gb,100kb_1gb,6.94092E-05,150945,SRR7152387,0.6020908,chrF2,TRUE
A,159772723,159925291,100kb_1gb,100kb_1gb,7.0156E-05,152569,BEN_SA4,0.595754,chrA2,TRUE
A,113193532,113346913,100kb_1gb,100kb_1gb,7.05298E-05,153382,BEN_SA4,0.6123966,chrB2,TRUE
A,194172013,194325668,100kb_1gb,100kb_1gb,7.06558E-05,153656,SRR5591010,0.6157105,chrB1,TRUE
A,16709336,16863271,100kb_1gb,100kb_1gb,7.07846E-05,153936,SRR5591010,0.6781109,chrA1,TRUE
A,3598944,3752941,100kb_1gb,100kb_1gb,7.08131E-05,153998,SRR7152401,0.708345,chrA1,TRUE
A,30256295,30411328,100kb_1gb,100kb_1gb,7.12894E-05,155034,18032FL-61-01V1-02,0.6071094,chrF1,TRUE
A,177432889,177590788,100kb_1gb,100kb_1gb,7.26073E-05,157900,SRR7152407,0.5992755,chrB1,TRUE
A,110256515,110416296,100kb_1gb,100kb_1gb,7.34727E-05,159782,SRR5591010,0.6085642,chrD1,TRUE
A,68506504,68666345,100kb_1gb,100kb_1gb,7.35003E-05,159842,BEN_SI1,0.665893,chrD2,TRUE
A,68506289,68666345,100kb_1gb,100kb_1gb,7.35992E-05,160057,BEN_SI4,0.6659544,chrD2,TRUE
A,12755498,12916589,100kb_1gb,100kb_1gb,7.40751E-05,161092,BEN_SI6,0.7054708,chrA1,TRUE
A,138249872,138412949,100kb_1gb,100kb_1gb,7.49883E-05,163078,18032FL-61-01V1-16,0.7038822,chrC2,TRUE
A,190873606,191036751,100kb_1gb,100kb_1gb,7.50196E-05,163146,5594-DP-0003_S5,0.6206258,chrB1,TRUE
A,130915170,131078792,100kb_1gb,100kb_1gb,7.52389E-05,163623,SRR7152401,0.6138967,chrB3,TRUE
A,72865663,73029421,100kb_1gb,100kb_1gb,7.53015E-05,163759,SRR7152381,0.678202,chrD2,TRUE
A,12585178,12749277,100kb_1gb,100kb_1gb,7.54583E-05,164100,BEN_NE2,0.6634958,chrA3,TRUE
A,12752335,12916645,100kb_1gb,100kb_1gb,7.55553E-05,164311,BEN_SI4,0.7052644,chrA1,TRUE
A,12754052,12919669,100kb_1gb,100kb_1gb,7.61563E-05,165618,SRR5591010,0.7025064,chrA1,TRUE
A,91800259,91966395,100kb_1gb,100kb_1gb,7.6395E-05,166137,BEN_SI2,0.5899564,chrD1,TRUE
A,193593552,193760575,100kb_1gb,100kb_1gb,7.68028E-05,167024,BEN_SA3,0.6837441,chrB1,TRUE
A,192280393,192448271,100kb_1gb,100kb_1gb,7.7196E-05,167879,SRR7152380,0.6250313,chrB1,TRUE
A,159921367,160090267,100kb_1gb,100kb_1gb,7.76659E-05,168901,GEN22,0.7125044,chrA2,TRUE
A,23808811,23977751,100kb_1gb,100kb_1gb,7.76843E-05,168941,BEN_CI4,0.6155499,chrB1,TRUE
A,110197404,110366469,100kb_1gb,100kb_1gb,7.77418E-05,169066,MAL12,0.5979712,chrD1,TRUE
A,15436083,15605796,100kb_1gb,100kb_1gb,7.80398E-05,169714,BEN_CI5,0.6732424,chrC1,TRUE
A,208504566,208674955,100kb_1gb,100kb_1gb,7.83506E-05,170390,AMU18,0.6731068,chrA1,TRUE
A,6859549,7031316,100kb_1gb,100kb_1gb,7.89843E-05,171768,BEN_NE2,0.7165754,chrA1,TRUE
A,99573859,99745807,100kb_1gb,100kb_1gb,7.90675E-05,171949,SRR5591010,0.6458406,chrB2,TRUE
A,86573474,86745427,100kb_1gb,100kb_1gb,7.90698E-05,171954,BEN_SA3,0.5970469,chrA2,TRUE
A,70569363,70741410,100kb_1gb,100kb_1gb,7.9113E-05,172048,BEN_SI2,0.6351462,chrD2,TRUE
A,112514479,112686896,100kb_1gb,100kb_1gb,7.92832E-05,172418,T14,0.6763892,chrA3,TRUE
A,9174875,9349194,100kb_1gb,100kb_1gb,8.01578E-05,174320,BEN_CI6,0.6285717,chrB1,TRUE
A,193588465,193763335,100kb_1gb,100kb_1gb,8.04111E-05,174871,BEN_CI2,0.6748213,chrB1,TRUE
A,6856333,7031235,100kb_1gb,100kb_1gb,8.04258E-05,174903,BEN_SI1,0.7148575,chrA1,TRUE
A,52372734,52547924,100kb_1gb,100kb_1gb,8.05583E-05,175191,SRR7152407,0.6169987,chrD1,TRUE
A,6855950,7032152,100kb_1gb,100kb_1gb,8.10236E-05,176203,SRR7152381,0.7148103,chrA1,TRUE
A,83466792,83643660,100kb_1gb,100kb_1gb,8.13299E-05,176869,BEN_SI6,0.6836002,chrD3,TRUE
A,142685877,142864387,100kb_1gb,100kb_1gb,8.20849E-05,178511,SRR7152394,0.6127948,chrB2,TRUE
A,194133368,194312052,100kb_1gb,100kb_1gb,8.21649E-05,178685,BEN_NE3,0.6063386,chrB1,TRUE
A,67305506,67484360,100kb_1gb,100kb_1gb,8.22431E-05,178855,BEN_SI1,0.7014492,chrF2,TRUE
A,15886054,16065089,100kb_1gb,100kb_1gb,8.23263E-05,179036,GEN8,0.6642333,chrF2,TRUE
A,33335345,33514647,100kb_1gb,100kb_1gb,8.24491E-05,179303,BEN_CI5,0.6423408,chrF2,TRUE
A,137944961,138125269,100kb_1gb,100kb_1gb,8.29117E-05,180309,18032FL-56-01-02,0.6884109,chrC2,TRUE
A,11407393,11588173,100kb_1gb,100kb_1gb,8.31287E-05,180781,BEN_CI4,0.624953,chrD2,TRUE
A,147904336,148085787,100kb_1gb,100kb_1gb,8.34373E-05,181452,18032FL-56-02-16,0.5979631,chrC2,TRUE
A,44288176,44470533,100kb_1gb,100kb_1gb,8.38539E-05,182358,SRR7152381,0.5958422,chrA1,TRUE
A,18559052,18741470,100kb_1gb,100kb_1gb,8.38819E-05,182419,MAL14,0.7057527,chrB4,TRUE
A,12931026,13114250,100kb_1gb,100kb_1gb,8.42525E-05,183225,GEN1,0.6175337,chrA1,TRUE
A,147038558,147221859,100kb_1gb,100kb_1gb,8.4288E-05,183302,SRR7152381,0.6795053,chrA2,TRUE
A,127352789,127536162,100kb_1gb,100kb_1gb,8.43211E-05,183374,SRR7152380,0.6700441,chrB3,TRUE
A,127758371,127942173,100kb_1gb,100kb_1gb,8.45183E-05,183803,BEN_NOR2,0.713681,chrB2,TRUE
A,7875741,8059600,100kb_1gb,100kb_1gb,8.45445E-05,183860,SRR7152387,0.6258274,chrB1,TRUE
A,218158875,218342739,100kb_1gb,100kb_1gb,8.45468E-05,183865,SRR7152381,0.6966453,chrA1,TRUE
A,7538523,7722629,100kb_1gb,100kb_1gb,8.46581E-05,184107,BEN_SI5,0.6170304,chrA1,TRUE
A,113771888,113956250,100kb_1gb,100kb_1gb,8.47758E-05,184363,BEN_CI2,0.6582267,chrB2,TRUE
A,126952417,127136819,100kb_1gb,100kb_1gb,8.47942E-05,184403,BEN_CI3,0.6336211,chrB3,TRUE
A,34849751,35035663,100kb_1gb,100kb_1gb,8.54886E-05,185913,18032FL-61-01V1-16,0.612876,chrD1,TRUE
A,64847046,65033340,100kb_1gb,100kb_1gb,8.56642E-05,186295,SRR7152381,0.6658829,chrB1,TRUE
